month,hat
2024-12-01,78.0
2025-01-01,76.0
2025-02-01,75.0
2025-03-01,73.6
2025-04-01,74.25
2025-05-01,79.5
2025-06-01,82.0
2025-07-01,80.5
2025-08-01,85.8
2025-09-01,84.5
2025-10-01,94.0
2025-11-01,94.0
