month,tote bag
2024-12-01,72.0
2025-01-01,64.75
2025-02-01,61.5
2025-03-01,61.0
2025-04-01,65.5
2025-05-01,64.25
2025-06-01,65.6
2025-07-01,80.25
2025-08-01,96.6
2025-09-01,73.75
2025-10-01,68.75
2025-11-01,77.6
