month,mug
2024-12-01,70.0
2025-01-01,65.5
2025-02-01,61.0
2025-03-01,57.6
2025-04-01,56.0
2025-05-01,56.75
2025-06-01,56.6
2025-07-01,58.5
2025-08-01,67.2
2025-09-01,67.0
2025-10-01,69.75
2025-11-01,89.8
