month,t-shirt
2024-12-01,49.0
2025-01-01,51.0
2025-02-01,53.0
2025-03-01,60.4
2025-04-01,68.75
2025-05-01,70.5
2025-06-01,74.8
2025-07-01,77.25
2025-08-01,94.4
2025-09-01,84.5
2025-10-01,77.5
2025-11-01,65.0
