Month,tote bag,t_shirt,mug,socks
2024-12-01,72.0,49.0,70.0,60.0
2025-01-01,64.75,51.0,65.5,50.25
2025-02-01,61.5,53.0,61.0,47.25
2025-03-01,61.0,60.4,57.6,46.8
2025-04-01,65.5,68.75,56.0,45.75
2025-05-01,64.25,70.5,56.75,46.0
2025-06-01,65.6,74.8,56.6,47.6
2025-07-01,80.25,77.25,58.5,50.0
2025-08-01,96.6,94.4,67.2,56.0
2025-09-01,73.75,84.5,67.0,53.75
2025-10-01,68.75,77.5,69.75,59.0
2025-11-01,77.6,65.0,89.8,81.4
