Month,tote bag,t_shirt,mug,hat,socks
2024-12-01,74.53416149068323,51.90677966101694,77.9510022271715,82.97872340425532,73.71007371007371
2025-01-01,67.02898550724639,54.02542372881356,72.93986636971047,80.85106382978722,61.73218673218672
2025-02-01,63.66459627329193,56.144067796610166,67.92873051224944,79.7872340425532,58.04668304668304
2025-03-01,63.14699792960663,63.983050847457626,64.14253897550111,78.29787234042553,57.49385749385748
2025-04-01,67.80538302277434,72.82838983050847,62.360801781737194,78.98936170212765,56.2039312039312
2025-05-01,66.51138716356108,74.6822033898305,63.19599109131403,84.57446808510637,56.51105651105651
2025-06-01,67.90890269151139,79.2372881355932,63.02895322939867,87.2340425531915,58.47665847665847
2025-07-01,83.07453416149069,81.83262711864407,65.14476614699332,85.63829787234043,61.42506142506142
2025-08-01,100.0,100.0,74.83296213808464,91.27659574468085,68.7960687960688
2025-09-01,76.34575569358178,89.51271186440677,74.61024498886415,89.8936170212766,66.03194103194103
2025-10-01,71.16977225672878,82.09745762711864,77.67260579064587,100.0,72.48157248157247
2025-11-01,80.33126293995859,68.85593220338983,100.0,100.0,100.0
