month,socks
2024-12-01,60.0
2025-01-01,50.25
2025-02-01,47.25
2025-03-01,46.8
2025-04-01,45.75
2025-05-01,46.0
2025-06-01,47.6
2025-07-01,50.0
2025-08-01,56.0
2025-09-01,53.75
2025-10-01,59.0
2025-11-01,81.4
